转发数	评论数	点赞数	字数	类别
22 	54 	122 	0 	活泼
12 	29 	77 	0 	活泼
46 	107 	153 	0 	正经
1 	17 	40 	0 	正经
1 	14 	15 	95 	正经
7 	21 	23 	140 	活泼
5 	21 	19 	0 	正经
7 	71 	59 	33 	正经
1 	52 	37 	69 	正经
2 	22 	11 	143 	正经
3 	50 	29 	47 	正经
6 	30 	27 	99 	正经
4 	19 	16 	61 	正经
5 	69 	103 	54 	活泼
5 	83 	58 	34 	活泼
3 	83 	66 	29 	正经
0 	2 	18 	101 	正经
3 	12 	23 	138 	活泼
3 	51 	39 	66 	活泼
5 	49 	60 	0 	活泼
23 	94 	194 	21 	活泼
2 	27 	28 	44 	正经
2 	30 	50 	0 	正经
4 	40 	41 	30 	正经
6 	23 	21 	111 	正经
2 	8 	17 	67 	活泼
3 	23 	52 	0 	活泼
42 	538 	180 	0 	活泼
3 	56 	33 	0 	活泼
44 	12 	17 	0 	活泼
67 	102 	58 	0 	活泼
4 	18 	62 	0 	活泼
32 	138 	105 	19 	正经
0 	5 	10 	131 	正经
1 	3 	9 	131 	正经
6 	18 	16 	135 	正经
0 	13 	24 	51 	活泼
9 	20 	19 	0 	活泼
12 	9 	58 	0 	活泼
1 	32 	50 	0 	正经
10 	19 	16 	182 	活泼
3 	37 	66 	58 	正经
4 	27 	23 	113 	正经
3 	14 	19 	68 	活泼
31 	77 	151 	147 	活泼
84 	133 	138 	0 	活泼
0 	21 	36 	0 	正经
0 	9 	11 	100 	正经
7 	18 	14 	134 	活泼
6 	64 	79 	34 	正经
7 	78 	94 	25 	正经
2 	12 	13 	0 	活泼
8 	74 	66 	36 	正经
5 	22 	27 	103 	正经
7 	14 	24 	69 	正经
3 	34 	49 	28 	活泼
14 	38 	65 	0 	活泼
30 	104 	89 	110 	正经
1 	8 	14 	97 	活泼
30 	49 	83 	184 	正经
5 	17 	17 	138 	活泼
1 	10 	13 	0 	正经
4 	42 	35 	34 	活泼
38 	23 	79 	0 	活泼
6 	78 	102 	26 	活泼
4 	136 	75 	34 	正经
4 	49 	31 	109 	正经
4 	18 	25 	66 	活泼
20 	96 	64 	0 	活泼
7 	41 	26 	0 	活泼
68 	166 	110 	52 	活泼
28 	89 	85 	0 	活泼
2 	27 	98 	23 	活泼
5 	30 	30 	0 	正经
0 	9 	17 	122 	正经
6 	14 	27 	147 	活泼
14 	1 	38 	0 	活泼
13 	82 	53 	0 	正经
2 	37 	27 	118 	活泼
53 	20 	51 	0 	活泼
5 	72 	58 	0 	活泼
1 	7 	18 	0 	活泼
1 	50 	56 	136 	正经
3 	34 	25 	131 	正经
3 	11 	19 	83 	正经
7 	93 	68 	33 	活泼
67 	39 	154 	0 	正经
6 	45 	74 	13 	活泼
22 	264 	269 	23 	正经
15 	38 	60 	36 	正经
0 	4 	14 	117 	正经
4 	10 	8 	137 	活泼
1 	18 	27 	0 	活泼
44 	10 	137 	0 	活泼
25 	28 	89 	0 	正经
6 	48 	103 	22 	活泼
59 	12 	83 	0 	活泼
5 	20 	18 	0 	正经
3 	24 	22 	0 	活泼
28 	5 	45 	0 	活泼
7 	74 	113 	41 	正经
1 	24 	22 	118 	正经
5 	9 	25 	83 	正经
7 	33 	93 	0 	正经
3 	29 	28 	110 	活泼
4 	55 	50 	0 	活泼
47 	63 	103 	0 	活泼
5 	15 	47 	0 	正经
28 	54 	105 	53 	正经
0 	26 	16 	122 	活泼
7 	30 	55 	49 	正经
9 	22 	13 	137 	活泼
96 	62 	156 	0 	正经
65 	50 	71 	0 	活泼
409 	293 	423 	15 	活泼
16 	54 	71 	121 	活泼
7 	45 	70 	0 	正经
9 	45 	37 	56 	正经
2 	18 	13 	0 	正经
3 	17 	24 	93 	正经
6 	10 	19 	67 	活泼
12 	17 	74 	0 	正经
4 	24 	42 	0 	正经
0 	12 	11 	110 	正经
6 	44 	34 	138 	正经
1 	17 	21 	0 	活泼
5 	83 	49 	0 	活泼
9 	94 	80 	60 	正经
3 	22 	26 	94 	正经
4 	13 	18 	61 	活泼
6 	76 	53 	31 	正经
27 	20 	95 	0 	活泼
9 	4 	42 	0 	正经
0 	9 	21 	119 	正经
20 	39 	97 	75 	正经
6 	15 	26 	137 	活泼
19 	78 	113 	0 	活泼
2 	1 	19 	0 	活泼
12 	66 	58 	0 	活泼
1 	12 	16 	0 	活泼
1 	40 	36 	0 	正经
1 	24 	43 	65 	活泼
5 	57 	40 	0 	活泼
4 	42 	66 	40 	正经
2 	29 	26 	113 	正经
15 	16 	24 	67 	活泼
7 	72 	117 	17 	活泼
3 	16 	101 	0 	活泼
11 	113 	126 	50 	正经
0 	4 	14 	112 	正经
5 	10 	23 	127 	活泼
2 	14 	26 	42 	活泼
18 	195 	65 	56 	活泼
1 	50 	105 	29 	活泼
0 	26 	19 	0 	活泼
2 	1 	13 	0 	活泼
14 	77 	48 	0 	正经
5 	48 	123 	60 	活泼
47 	129 	874 	0 	正经
3 	23 	26 	85 	正经
2 	12 	17 	64 	活泼
6 	95 	190 	32 	正经
22 	89 	339 	10 	活泼
16 	34 	129 	0 	正经
38 	62 	256 	10 	活泼
36 	14 	197 	0 	活泼
7 	87 	198 	23 	活泼
2 	103 	61 	42 	正经
2 	17 	22 	106 	正经
1 	18 	20 	105 	正经
7 	8 	23 	133 	正经
80 	102 	134 	89 	活泼
38 	138 	112 	48 	活泼
13 	17 	26 	0 	活泼
89 	28 	188 	0 	正经
1 	30 	61 	44 	正经
4 	32 	41 	40 	活泼
9 	91 	111 	35 	正经
6 	22 	38 	62 	正经
3 	15 	13 	112 	正经
2 	3 	15 	70 	活泼
2 	137 	59 	0 	活泼
676 	373 	929 	49 	活泼
5 	83 	198 	23 	正经
8 	14 	22 	99 	正经
11 	11 	22 	137 	活泼
42 	100 	129 	17 	活泼
6 	32 	64 	0 	正经
17 	58 	208 	101 	活泼
18 	54 	357 	32 	活泼
28 	240 	100 	0 	活泼
34 	13 	26 	0 	正经
2 	10 	19 	100 	正经
0 	15 	27 	57 	正经
7 	19 	29 	132 	正经
3 	7 	15 	75 	活泼
7 	46 	103 	0 	正经
5 	19 	80 	0 	正经
1 	11 	14 	97 	正经
5 	21 	29 	137 	正经
48 	91 	187 	64 	正经
10 	31 	25 	69 	活泼
1036 	520 	217 	256 	正经
2 	23 	28 	132 	活泼
1 	24 	32 	57 	正经
2 	11 	21 	119 	正经
