3U8632,四川航空股份有限公司,2020/02/05 00:30:00,2020/02/05 00:41:00,洛杉矶,2020/02/06 06:35:00,2020/02/06 06:22:00,杭州萧山,到达
3U8632,四川航空股份有限公司,2020/02/05 00:30:00,2020/02/05 00:41:00,洛杉矶,2020/02/06 11:40:00,2020/02/06 11:25:00,成都双流,到达
3U8633,--,2020/02/05 07:50:00,--,重庆江北,2020/02/05 10:50:00,--,拉萨贡嘎,取消
3U8634,--,2020/02/05 11:50:00,--,拉萨贡嘎,2020/02/05 14:20:00,--,重庆江北,取消
3U8651,四川航空股份有限公司,2020/02/05 14:15:00,2020/02/05 14:24:00,成都双流,2020/02/05 15:40:00,2020/02/05 15:34:00,攀枝花保安营,到达
3U8652,四川航空股份有限公司,2020/02/05 13:20:00,2020/02/05 13:13:00,攀枝花保安营,2020/02/05 14:30:00,2020/02/05 14:01:00,成都双流,到达
3U8657,四川航空股份有限公司,2020/02/05 06:55:00,2020/02/05 07:05:00,成都双流,2020/02/05 09:35:00,2020/02/05 09:16:00,拉萨贡嘎,到达
3U8658,四川航空股份有限公司,2020/02/05 10:40:00,2020/02/05 10:33:00,拉萨贡嘎,2020/02/05 12:40:00,2020/02/05 12:10:00,成都双流,到达
3U8661,--,2020/02/05 16:20:00,--,重庆江北,2020/02/05 18:20:00,--,上饶三清山,取消
3U8661,--,2020/02/05 16:20:00,--,重庆江北,2020/02/05 20:05:00,--,厦门高崎,取消
3U8661,--,2020/02/05 19:05:00,--,上饶三清山,2020/02/05 20:05:00,--,厦门高崎,取消
3U8667,--,2020/02/05 23:10:00,--,昆明长水,2020/02/06 00:35:00,--,成都双流,取消
3U8668,--,2020/02/05 23:15:00,--,成都双流,2020/02/06 00:50:00,--,昆明长水,取消
3U8669,四川航空股份有限公司,2020/02/05 06:55:00,2020/02/05 07:01:00,昆明长水,2020/02/05 08:35:00,2020/02/05 07:58:00,成都双流,到达
3U8669,四川航空股份有限公司,2020/02/05 06:55:00,2020/02/05 07:01:00,昆明长水,2020/02/05 11:55:00,2020/02/05 11:25:00,石家庄正定,到达
3U8669,四川航空股份有限公司,2020/02/05 09:40:00,2020/02/05 09:35:00,成都双流,2020/02/05 11:55:00,2020/02/05 11:25:00,石家庄正定,到达
3U8670,四川航空股份有限公司,2020/02/05 13:10:00,2020/02/05 13:11:00,石家庄正定,2020/02/05 15:55:00,2020/02/05 15:27:00,成都双流,到达
