name	area	block	address	sale_num	build_year	mid_price	image	url	all_num
玫瑰坊	碑林区	长乐坊	长乐坊18号	18	2006年	11286	https://pic1.ajkimg.com/display/ajk/f508eb1701aecbb8228cea07d6013085/180x135c.jpg	https://m.anjuke.com/xa/community/274574/	240户
中原新村小区	碑林区	环城南路	含光路	9	2005年	11775	https://pic1.ajkimg.com/display/ajk/e4c00d24818170036d2ff46c9228fa54/180x135c.jpg	https://m.anjuke.com/xa/community/564741/	504户
文锦苑小区	碑林区	文艺路	文艺路3号	22	2001年	10062	https://pic1.ajkimg.com/display/ajk/26f9163e005b3192c1ef3e49687938e5/180x135c.jpg	https://m.anjuke.com/xa/community/435107/	198户
金地园	碑林区	文艺路	文艺南路136号	33	2004年	14849	https://pic1.ajkimg.com/display/ajk/82643edca1df587601939659946e39a0/180x135c.jpg	https://m.anjuke.com/xa/community/274462/	252户
德福巷小区西区	碑林区	南大街	南广济街43号	21	1999年	11306	https://pic1.ajkimg.com/display/ajk/843935390fa62e67c68be5bd31d6d55f/180x135c.jpg	https://m.anjuke.com/xa/community/830111/	294户
友谊公司家属院	碑林区	文艺路	文艺南路	11	2000年	9532	https://pic1.ajkimg.com/display/ajk/b0e509d1bbb2785e7a76a38394641a40/180x135c.jpg	https://m.anjuke.com/xa/community/470135/	201户
西彩新苑	碑林区	西安交通大学	友谊东路20号	9	1998年	12719	https://pic1.ajkimg.com/display/ajk/080c5a24367699ca0a072edbe00b0b1a/180x135c.jpg	https://m.anjuke.com/xa/community/407095/	756户
陕钢家属院	碑林区	环城南路	咸宁中路106号	1		11359	https://pic1.ajkimg.com/display/ajk/a6b3450b9850312bf2317b3018c64e7f/180x135c.jpg	https://m.anjuke.com/xa/community/311618/	1376户
铁一局后村小区	碑林区	太乙路	南二环东段319号	18		13757	https://pic1.ajkimg.com/display/ajk/f55e53b5df0b86b9c09b9001ccb7501a/180x135c.jpg	https://m.anjuke.com/xa/community/1062203/	888户
市委家属院	碑林区	南大街	粉巷	1	2008年	10624	https://pic1.ajkimg.com/display/ajk/4779ac0cb46bb6e22ea0722bf095ed0b/180x135c.jpg	https://m.anjuke.com/xa/community/310566/	390户
御城	碑林区	环城南路	环城南路西段110号	10	2002年	15898	https://pic1.ajkimg.com/display/ajk/3697649cd57960f165ef2a4993829ed5/180x135c.jpg	https://m.anjuke.com/xa/community/274632/	724户
幸福逸家	碑林区	东关正街	东关正街9号	14	2012年	13165	https://pic1.ajkimg.com/display/ajk/d6d66c2cfc075b18ad03e0e3ebc63884/180x135c.jpg	https://m.anjuke.com/xa/community/322152/	489户
县仓巷小区	碑林区	南大街	县仓巷	25		10598	https://pic1.ajkimg.com/display/ajk/8c6db0a4985c1ff4004a07862a90f5db/180x135c.jpg	https://m.anjuke.com/xa/community/395601/	396户
学林雅苑(碑林)	碑林区	边家村	边西街	11	2005年	16280	https://pic1.ajkimg.com/display/ajk/335ad5f8c074a20a4ece8b24e03f04c7/180x135c.jpg	https://m.anjuke.com/xa/community/274961/	308户
都市凰庭	碑林区	红缨路	红缨路88号	29	2010年	13899	https://pic1.ajkimg.com/display/ajk/6a742bbe82fc0f869e9ea6b0a7d2198d/180x135c.jpg	https://m.anjuke.com/xa/community/300378/	--
白庙公寓	碑林区	西工大	白庙路甲字6号	4	2011年	13284	https://pic1.ajkimg.com/display/ajk/2ba7314fbfcf2a46462733f761cac035/180x135c.jpg	https://m.anjuke.com/xa/community/829886/	468户
西后地小区	碑林区	南稍门	振兴路	0	1987年	11388	https://pic1.ajkimg.com/display/ajk/48b979ee09572ce86bf809730554fa8a/180x135c.jpg	https://m.anjuke.com/xa/community/830587/	1076户
泰华金汇时代	碑林区	西工大	太白北路	4	2016年	12084	https://pic1.ajkimg.com/display/ajk/19440579e62ed50f4f9d6e6f378fb594/180x135c.jpg	https://m.anjuke.com/xa/community/786420/	823户
交大附中家属院	碑林区	西安交通大学	兴庆路	1	2003年	10851	https://pic1.ajkimg.com/display/ajk/d34100cdd50870db4cbc22f259e08496/180x135c.jpg	https://m.anjuke.com/xa/community/313417/	1192户
嘉怡豪庭	碑林区	环城南路	长安北路41号	17	2012年	15384	https://pic1.ajkimg.com/display/ajk/374f096f5b8a8544e5a334804f5c7025/180x135c.jpg	https://m.anjuke.com/xa/community/308146/	384户
印花布园小区	碑林区	环城南路	印花布园37号	4	2009年	11568	https://pic1.ajkimg.com/display/ajk/0b30c37d36205a1deabffa8329292ef5/180x135c.jpg	https://m.anjuke.com/xa/community/317400/	421户
兴庆九号	碑林区	环城南路	兴庆路	30	2005年	10909	https://pic1.ajkimg.com/display/ajk/c7c86197ff78b9282eeaeaed8f6d33fe/180x135c.jpg	https://m.anjuke.com/xa/community/830793/	300户
兴庆雅居	碑林区	长乐坊	兴庆路北段67号	13	2013年	12380	https://pic1.ajkimg.com/display/ajk/3c417193fdc067db571338f059f3d2f3/180x135c.jpg	https://m.anjuke.com/xa/community/398724/	448户
丽苑	碑林区	太乙路	太乙路5号	14	2004年	11670	https://pic1.ajkimg.com/display/ajk/8950625d2de78579b7fd6b1cd9588481/180x135c.jpg	https://m.anjuke.com/xa/community/274812/	400户
新兴小区(大差市)	碑林区	大差市	建国路,近无名路	8	1997年	12975	https://pic1.ajkimg.com/display/ajk/c9c5f0cc8c5fc3aba51063255a07a24f/180x135c.jpg	https://m.anjuke.com/xa/community/292619/	408户
建苑家园	碑林区	边家村	太白北路	25	2007年	14001	https://pic1.ajkimg.com/display/ajk/212544a8700d5692d48ef0eb0e85ffdc/180x135c.jpg	https://m.anjuke.com/xa/community/275147/	416户
陕西省电力公司兴庆路社区	碑林区	长乐坊	伞塔路68号	31	2005年	9969	https://pic1.ajkimg.com/display/ajk/822cb71c50bedf282c90b7872a69b56a/180x135c.jpg	https://m.anjuke.com/xa/community/829999/	192户
珠江时代广场	碑林区	南门	环城南路	1		17972	https://pic1.ajkimg.com/display/ajk/472599eb8386402159a50aeaae11bae3/180x135c.jpg	https://m.anjuke.com/xa/community/831250/	288户
唐宁国际	碑林区	南大街	盐店街128号	3	2015年	14198	https://pic1.ajkimg.com/display/ajk/41e38dd2326c40d6d311402023105fc2/180x135c.jpg	https://m.anjuke.com/xa/community/951835/	1364户
希望小区	碑林区	大差市	西县坡1号	11	1998年	11111	https://pic1.ajkimg.com/display/ajk/b1d813fb6f8db7e03a3fcdae60507907/180x135c.jpg	https://m.anjuke.com/xa/community/504141/	294户
高尔夫花园	碑林区	南门	长安北路56号	8	1998年	10978	https://pic1.ajkimg.com/display/ajk/4a0d26a16d3eb77b627da81a7d71a59f/180x135c.jpg	https://m.anjuke.com/xa/community/274586/	335户
世贸大厦	碑林区	东关正街	东关正街66号	2	2000年	12242	https://pic1.ajkimg.com/display/ajk/c3a18d597d10854976e279bd14e32bd3/180x135c.jpg	https://m.anjuke.com/xa/community/911797/	1494户
豪盛大厦	碑林区	小雁塔	朱雀大街78号	22	2002年	10962	https://pic1.ajkimg.com/display/ajk/4074f6ca6197e23a36291895bcd096fb/180x135c.jpg	https://m.anjuke.com/xa/community/299749/	406户
